precinct,cluster_id,cluster_name
1,0,High-density (theft / tourist core)
5,0,High-density (theft / tourist core)
6,0,High-density (theft / tourist core)
7,0,High-density (theft / tourist core)
9,0,High-density (theft / tourist core)
10,3,Moderate mixed
13,0,High-density (theft / tourist core)
14,0,High-density (theft / tourist core)
17,0,High-density (theft / tourist core)
18,0,High-density (theft / tourist core)
19,0,High-density (theft / tourist core)
20,0,High-density (theft / tourist core)
22,3,Moderate mixed
23,1,High-density (violence-leaning)
24,0,High-density (theft / tourist core)
25,1,High-density (violence-leaning)
26,3,Moderate mixed
28,1,High-density (violence-leaning)
30,3,Moderate mixed
32,1,High-density (violence-leaning)
33,1,High-density (violence-leaning)
34,3,Moderate mixed
40,1,High-density (violence-leaning)
41,1,High-density (violence-leaning)
42,1,High-density (violence-leaning)
43,1,High-density (violence-leaning)
44,1,High-density (violence-leaning)
45,3,Moderate mixed
46,1,High-density (violence-leaning)
47,1,High-density (violence-leaning)
48,1,High-density (violence-leaning)
49,3,Moderate mixed
50,3,Moderate mixed
52,1,High-density (violence-leaning)
60,1,High-density (violence-leaning)
61,3,Moderate mixed
62,3,Moderate mixed
63,3,Moderate mixed
66,3,Moderate mixed
67,1,High-density (violence-leaning)
68,0,High-density (theft / tourist core)
69,3,Moderate mixed
70,3,Moderate mixed
71,3,Moderate mixed
72,3,Moderate mixed
73,1,High-density (violence-leaning)
75,1,High-density (violence-leaning)
76,3,Moderate mixed
77,1,High-density (violence-leaning)
78,0,High-density (theft / tourist core)
79,1,High-density (violence-leaning)
81,3,Moderate mixed
83,3,Moderate mixed
84,0,High-density (theft / tourist core)
88,3,Moderate mixed
90,3,Moderate mixed
94,3,Moderate mixed
100,3,Moderate mixed
101,3,Moderate mixed
102,3,Moderate mixed
103,1,High-density (violence-leaning)
104,3,Moderate mixed
105,3,Moderate mixed
106,3,Moderate mixed
107,3,Moderate mixed
108,3,Moderate mixed
109,3,Moderate mixed
110,3,Moderate mixed
111,3,Moderate mixed
112,0,High-density (theft / tourist core)
113,3,Moderate mixed
114,3,Moderate mixed
115,3,Moderate mixed
116,2,Low-risk residential
120,1,High-density (violence-leaning)
121,3,Moderate mixed
122,3,Moderate mixed
123,3,Moderate mixed
